EC,NH3N,O2-Dis,TEMP,pH
244.0,0.0849,9.76,14.91,7.1
600.0,0.8,3.2,27.0,8.0
530.0,0.44,5.2,27.0,7.6
760.0,0.92,1.6,29.0,7.9
244.0,0.0849,9.76,14.91,7.1
872.0,1.2,1.0,30.0,8.3
662.0,0.84,2.3,26.0,7.8
860.0,1.2,0.66,30.0,8.4
244.0,0.0849,9.76,14.91,7.1
690.0,0.87,1.9,28.0,7.8
560.0,0.72,3.5,30.0,8.0
785.0,0.98,1.9,28.0,8.1
770.0,0.96,1.2,30.0,8.05
244.0,0.0849,9.76,14.91,7.1
540.0,0.78,2.1,28.0,7.7
244.0,0.0849,9.76,14.91,7.1
240.0,0.31,4.1,26.0,7.5
244.0,0.0849,9.76,14.91,7.1
244.0,0.0849,9.76,14.91,7.1
550.0,0.66,2.9,27.0,7.9
695.0,0.89,1.9,29.0,7.9
244.0,0.0849,9.76,14.91,7.1
487.0,0.54,3.9,29.0,7.7
244.0,0.0849,9.76,14.91,7.1
540.0,0.75,3.0,27.0,7.8
244.0,0.35,4.3,28.0,7.4
244.0,0.0849,9.76,14.91,7.1
550.0,0.54,3.8,31.0,7.5
244.0,0.0849,9.76,14.91,7.1
244.0,0.0849,9.76,14.91,7.1
244.0,0.0849,9.76,14.91,7.1
526.0,0.48,3.5,28.0,7.6
244.0,0.0849,9.76,14.91,7.1
575.0,0.72,3.5,30.0,7.5
244.0,0.0849,9.76,14.91,7.1
510.0,0.6,3.0,28.0,7.78
480.0,0.7,3.5,29.0,7.5
600.0,0.78,2.7,30.0,7.9
244.0,0.0849,9.76,14.91,7.1
244.0,0.0849,9.76,14.9,7.1
160.0,0.06,6.8,27.0,7.9
244.0,0.0849,9.76,14.91,7.1
175.0,0.15,7.8,29.0,7.0
220.0,0.13,6.7,28.0,7.6
180.0,0.17,7.1,25.0,8.0
244.0,0.0849,9.76,14.9,7.1
290.0,0.2,5.8,25.0,7.3
244.0,0.0849,9.76,14.91,7.1
168.0,0.24,7.0,28.0,7.4
163.0,0.17,7.2,26.0,8.0
200.0,0.19,6.1,27.0,7.6
220.0,0.17,7.1,30.0,7.8
170.0,0.02,6.6,28.0,7.7
244.0,0.0849,9.76,14.91,7.1
244.0,0.0849,9.76,14.91,7.1
269.0,0.12,6.4,28.0,8.1
187.0,0.22,6.9,28.0,8.0
210.0,0.21,7.1,28.0,8.4
200.0,0.08,7.4,29.0,8.1
240.0,0.2,6.6,28.0,8.0
244.0,0.0849,9.76,14.91,7.1
197.0,0.26,6.5,29.0,7.7
175.0,0.06,6.7,28.0,8.0
220.0,0.01,7.5,27.0,6.6
220.0,0.01,7.8,28.0,6.6
170.0,0.09,7.6,28.5,8.0
220.0,0.01,7.2,27.0,6.7
160.0,0.01,7.7,26.0,6.5
244.0,0.0849,9.76,14.9,7.1
82.0,0.04,9.8,14.5,7.4
176.0,0.01,7.3,25.0,6.5
270.0,0.01,7.4,28.0,6.8
430.0,0.01,6.72,28.0,6.5
326.0,0.01,7.4,28.0,6.4
300.0,0.01,7.7,26.0,6.5
244.0,0.0849,9.76,14.9,7.0
280.0,0.01,6.8,29.0,6.7
244.0,0.0849,9.76,14.9,7.1
260.0,0.01,7.4,27.0,6.5
221.0,0.01,8.2,28.0,6.7
134.0,0.04,7.9,27.0,6.9
184.0,0.01,7.4,25.0,6.7
160.0,0.06,7.6,28.0,7.6
167.0,0.01,8.3,26.0,6.6
205.0,0.01,6.9,27.0,7.0
226.0,0.01,6.2,27.5,7.0
160.0,0.01,6.8,30.0,7.0
163.0,0.02,7.4,27.0,8.1
173.0,0.01,8.6,24.0,6.8
182.0,0.01,7.1,30.0,7.5
281.0,0.01,6.8,26.5,8.0
247.0,0.02,6.6,29.0,8.1
325.0,0.01,7.5,27.5,8.4
210.0,0.01,6.9,27.0,8.1
120.0,0.01,8.05,27.0,7.5
296.0,0.01,7.08,26.0,7.3
75.0,0.06,9.6,16.4,7.4
54.0,0.02,9.8,15.6,7.29
53.0,0.01,10.7,17.3,7.41
58.0,0.03,11.0,15.8,7.36
51.0,0.1,8.6,17.5,7.4
55.0,0.04,9.0,19.0,7.14
48.0,0.01,9.5,18.1,7.12
42.0,0.07,10.6,18.3,7.26
74.0,0.02,8.6,21.9,7.17
66.0,0.01,9.9,18.9,7.53
67.0,0.08,8.5,22.2,6.9
64.0,0.08,8.2,22.2,7.2
42.0,0.02,8.6,22.0,7.25
77.0,0.03,8.9,22.2,7.55
44.0,0.05,9.6,17.3,7.07
79.0,0.03,9.4,17.2,7.4
69.0,0.06,11.0,15.2,7.1
49.0,0.01,9.4,16.6,7.19
59.0,0.05,9.7,17.4,7.48
51.0,0.05,8.7,17.5,7.3
69.0,0.03,9.0,18.8,7.09
56.0,0.03,8.2,20.8,7.3
100.0,0.03,7.2,26.0,7.4
87.0,0.01,8.6,22.7,7.67
72.0,0.08,8.5,23.5,7.1
81.0,0.08,8.3,22.2,7.18
46.0,0.01,9.1,19.6,6.96
72.0,0.05,8.2,20.0,7.18
83.0,0.03,8.9,19.1,7.26
75.0,0.01,9.1,19.9,7.46
59.0,0.03,10.5,16.2,7.2
74.0,0.13,9.3,16.5,7.1
69.0,0.04,9.6,16.1,7.3
63.0,0.01,10.0,17.4,7.29
49.0,0.02,9.6,18.5,7.12
55.0,0.02,9.5,18.5,7.32
54.0,0.05,8.8,19.7,7.2
62.0,0.02,8.0,21.6,7.48
85.0,0.02,8.9,23.6,7.31
53.0,0.02,9.6,21.2,7.38
68.0,0.05,7.0,24.0,7.21
60.0,0.05,8.8,22.1,7.1
42.0,0.02,8.2,19.9,7.3
85.0,0.01,8.0,24.6,7.19
75.0,0.05,8.3,19.0,7.3
65.0,0.02,9.4,17.0,7.16
