EC,NH3N,O2-Dis,TEMP,pH
788,0.38,6.4,21,7.8
618,0.26,8.95,20,8
604,0.01,8.01,15.3,8
646,0.33,8.6,14,7.8
690,0.05,9.3,10.5,7.4
612,0.16,9.1,12.4,7.9
564,0.29,9.2,8.4,8
607,0.0015,11.7,8.14,8.06
595,0.17,10.6,6,7.8
578,0.32,12.05,10,7.7
620,0.2,12.55,4,8.2
610,0.04,11.6,8,8.5
641,0.05,12.1,10.5,8.3
596,0.03,13.5,11.5,8.3
552,0.0006,13.7,11.34,8.66
654,0.06,13,16.5,8.7
606,0.05,9.86,16,8.9
565,0.05,10.1,15.5,9
475,0.5,6.95,16.5,7.7
652,0.23,7.5,19,7.5
624,0.003,7.59,21.23,7.95
640,0.17,9.85,8,7.9
555,0.13,11.15,10,7.9
602,0.0023,11.8,7.6,7.87
638,0.24,9.1,8.6,7.8
485,0.17,10.75,8,8.4
679,0.2,12.1,11,8.1
634,0.001,11.29,10.1,8.1
520,0.06,9.35,13,8
717,0.24,9.1,15,7.7
547,0.0023,8.02,20.16,7.77
650,0.17,8.95,21,8.1
669,0.03,11,21.1,8.3
634,0.008,8.48,18,7.9
583,0.002,9.11,17,8.3
585,0.18,8.75,17,8
575,0.0028,8.49,17.45,7.94
640,0.11,10.4,10.5,8.2
694,0.2,9.85,9,7.9
603,0.002,9.17,9.98,7.9
698,0.26,11.3,7,7.9
606,0.3,12,7.4,8
618,0.003,10.1,7.04,8.06
651,0.37,11.7,6,7.8
550,0.15,11.25,8,8.3
615,0.23,11.85,7,8.2
580,0.1,10.45,10,8.1
592,0.01,12.75,11.5,8.7
576,0.25,10.4,15,8
590,0.0029,12.7,21.67,8.81
580,0.01,7.7,20,8.3
656,0.0013,9.3,21.46,8.11
510,0.19,9.8,12,7.9
609,0.002,12.25,6.8,8.12
591,0.21,11.5,5,8
630,0.1,11.75,5,8
783,0.28,11.75,5,7.5
600,0.02,12.85,5,8.1
649,0.32,12.3,7,8
653,0.09,10.7,13,8.3
390,0.01,10.9,25,8.5
681,0.0016,9.74,22.24,8.24
676,0.05,9.1,20,7.6
555,0.0008,7.82,22.45,7.79
610,0.19,8.35,14,8
605,0.26,9.9,10,7.9
548,0.17,10.4,9,7.6
643,0.004,8.86,11.3,7.87
611,0.1,11.5,7,7.9
626,0.002,11.21,5.3,8.1
490,0.13,6.7,7,7.8
543,0.0007,11.6,13.57,8.58
603,0.0026,11.9,14.42,8.8
608,0.01,10.45,17,8.7
632,0.09,10,22,8.3
643,0.15,8.4,16,7.7
628,0.22,8.15,17,7.9
610,0.009,9.74,16.8,7.9
588,0.003,7.9,13.9,7.8
526,0.0014,11.6,8.72,7.92
590,0.23,11.7,4,8.2
473,0.0029,10.8,7.33,7.96
582,0.003,11.7,7.4,8.3
630,0.16,10.6,10,8.1
624,0.27,10.2,12.7,8.2
618,0.001,11.5,11.3,8.5
675,0.05,14.3,13,8.7
620,0.002,7.86,19.95,8.2
604,0.07,11.2,20,8.2
627,0.0019,7.53,21.71,7.88
590,0.15,9.15,20,8.5
490,0.19,11.4,6,8
625,0.005,12.2,3,7.8
604,0.26,12.7,5.9,7.6
575,0.01,11.85,11,8.9
601,0.1,12.95,12,8.6
597,0.002,10.93,10.7,8.1
520,0.16,8.65,16,8.8
592,0.31,9.5,12.5,8.3
601,0.09,8.8,15.3,8.9
545,0.29,8.15,16,8.1
600,0.22,9.8,18,8.7
585,0.06,7.95,21,8.2
575,0.08,10.45,9.5,7.9
585,0.0027,11.2,8.2,8
525,0.17,15.9,6,8.2
635,0.26,11.85,3,8
635,0.37,12,4,7.9
729,0.23,11.4,7,7.8
553,0.26,9.05,15,7.9
570,0.01,11.3,15,9.2
695,0.35,8.3,19.3,8
560,0.05,8.45,16,8
560,0.18,10.1,11,8.1
664,0.27,8.1,13.9,7.8
565,0.12,8.45,10,8.3
524,0.0009,9.6,16.5,8.31
608,0.07,11.9,18,8.6
520,0.24,8.45,16,8
690,0.22,10,9,7.9
684,0.23,12.3,9,7.7
626,0.17,9,11.7,7.9
545,0.0009,11.6,9.03,7.77
603,0.0015,10.7,18.61,8.26
630,0.2,8.65,19,8.2
450,0.31,9.25,14,7.8
511,0.002,10.44,11.8,7.9
561,0.0042,8.47,14.92,7.76
486,0.13,10.15,8.5,7.9
595,0.15,11.85,7,8.2
612,0.0024,11.8,6.47,8.15
580,0.27,11.4,6.5,7.7
585,0.16,9.9,14,8.1
633,0.51,7.05,19,7.8
660,0.002,7.96,20.6,8.1
712,0.16,7.6,13,7.5
538,0.0075,8.32,17.32,7.8
545,0.14,9.7,11,7.8
639,0.31,8.8,10,7.9
642,0.002,11.37,8.2,8.2
705,0.34,11.55,7,7.9
635,0.38,12.3,4,8
477,0.0029,11.1,8.26,8.09
560,0.1,10.3,12,8.1
530,0.17,10.3,14,8.5
600,0.16,8.45,16,8
755,0.23,9.3,15.3,8.5
570,0.12,9.55,9,8.1
654,0.19,10.8,9.2,7.9
375,0.18,11.7,6,8
620,0.31,11.35,6,8
