created_at,entry_id,Temp,Turbidity,Dissolved O2,pH,Ammonia,Nitrate
2021-06-18 11:51:13 CET,1,25.5625,3,0,8.40641,inf,209
2021-06-18 11:51:32 CET,2,25.4375,3,0,8.41095,inf,214
2021-06-18 11:51:52 CET,3,25.5,3,0,8.40641,inf,210
2021-06-18 11:52:11 CET,4,25.375,3,0,8.40641,inf,209
2021-06-18 11:52:31 CET,5,25.4375,3,0,8.40641,inf,208
2021-06-18 11:52:50 CET,6,25.5,3,0,8.43365,inf,208
2021-06-18 11:57:48 CET,7,25.6875,3,0,8.40641,inf,197
2021-06-18 11:58:11 CET,8,25.75,3,0,8.40641,inf,197
2021-06-18 11:58:33 CET,9,25.8125,3,0,8.41549,inf,199
2021-06-18 12:00:10 CET,10,25.8125,3,0,8.41095,inf,198
2021-06-18 12:01:11 CET,11,25.875,3,0,8.42003,inf,203
2021-06-18 12:01:38 CET,12,25.8125,3,0,8.40641,inf,198
2021-06-18 12:02:24 CET,13,25.5625,3,0,8.40641,inf,197
2021-06-18 12:02:44 CET,14,25.625,3,0,8.41549,inf,198
2021-06-18 12:03:08 CET,15,25.6875,3,0,8.40641,inf,198
2021-06-18 12:04:05 CET,16,25.75,3,0,8.41095,inf,202
2021-06-18 12:04:25 CET,17,25.8125,3,0,8.42003,inf,203
2021-06-18 12:04:46 CET,18,25.6875,3,0,8.40641,inf,204
2021-06-18 12:05:08 CET,19,25.8125,3,0,8.40641,inf,204
2021-06-18 12:05:30 CET,20,25.75,3,0,8.44726,inf,206
2021-06-18 12:05:50 CET,21,25.8125,3,0,8.41549,inf,205
2021-06-18 12:06:12 CET,22,25.8125,3,0,8.41095,inf,203
2021-06-18 12:07:08 CET,23,25.8125,3,0,8.41549,inf,206
2021-06-18 12:07:28 CET,24,25.875,3,0,8.42003,inf,207
2021-06-18 12:07:47 CET,25,25.875,3,0,8.41095,inf,204
2021-06-18 12:08:43 CET,26,26,3,0,8.42911,inf,203
2021-06-18 12:09:03 CET,27,25.9375,3,0,8.40641,inf,207
2021-06-18 12:09:22 CET,28,26,3,0,8.44726,inf,206
2021-06-18 12:09:42 CET,29,26.0625,3,0,8.41095,inf,203
2021-06-18 12:10:01 CET,30,26.0625,3,0,8.40641,inf,203
2021-06-18 12:10:21 CET,31,26.0625,3,0,8.41095,inf,205
2021-06-18 12:15:39 CET,32,26.125,100,7.584,8.41549,inf,213
2021-06-18 12:15:59 CET,33,26.125,100,1.926,8.44726,inf,211
2021-06-18 12:16:18 CET,34,26.0625,100,6.198,8.42003,inf,208
2021-06-18 12:16:38 CET,35,26.0625,100,6.929,8.42003,inf,208
2021-06-18 12:16:57 CET,36,26.125,100,6.67,8.42003,inf,208
2021-06-18 12:17:17 CET,37,26.125,100,6.998,8.41095,inf,202
2021-06-18 12:17:36 CET,38,26.0625,100,6.495,8.41095,inf,208
2021-06-18 12:17:56 CET,39,26.125,100,11.414,8.40641,inf,208
2021-06-18 12:18:15 CET,40,26.125,100,6.67,8.41095,inf,207
2021-06-18 12:18:35 CET,41,26.125,100,6.274,8.41549,inf,208
2021-06-18 12:18:55 CET,42,26.125,100,4.843,8.41549,inf,202
2021-06-18 12:19:14 CET,43,26.125,100,6.823,8.42003,inf,208
2021-06-18 12:19:34 CET,44,26.125,100,7.295,8.41549,inf,208
2021-06-18 12:19:53 CET,45,26.125,100,6.198,8.42003,inf,208
2021-06-18 12:20:13 CET,46,26.125,100,6.67,8.40641,inf,207
2021-06-18 12:20:32 CET,47,26.0625,100,6.99,8.41549,inf,207
2021-06-18 12:20:52 CET,48,26.125,100,6.632,8.41095,inf,206
2021-06-18 12:21:48 CET,49,26.125,100,10.737,8.41549,inf,206
2021-06-18 12:22:08 CET,50,26.0625,100,9.435,8.42003,inf,221
2021-06-18 12:22:28 CET,51,26.0625,100,3.129,8.42911,inf,211
2021-06-18 12:22:47 CET,52,26.0625,100,6.746,8.39279,inf,211
2021-06-18 12:23:07 CET,53,26.125,100,6.739,8.41549,inf,214
2021-06-18 12:23:26 CET,54,26.0625,100,6.716,8.41095,inf,217
2021-06-18 12:23:45 CET,55,26.0625,100,0,8.4518,inf,213
2021-06-18 12:24:05 CET,56,26.125,100,6.883,8.41549,inf,211
2021-06-18 12:24:24 CET,57,26.125,100,4.028,8.41095,inf,215
2021-06-18 12:24:44 CET,58,26.125,100,6.594,8.41549,inf,214
2021-06-18 12:25:03 CET,59,26.125,100,6.145,8.44726,inf,214
2021-06-18 12:25:23 CET,60,26.125,100,12.298,8.41095,inf,213
2021-06-18 12:25:43 CET,61,26.125,100,4.675,8.41549,inf,213
2021-06-18 12:26:02 CET,62,26.125,100,6.922,8.41549,inf,215
2021-06-18 12:26:22 CET,63,26.125,100,7.257,8.41095,inf,220
2021-06-18 12:26:41 CET,64,26.0625,100,6.823,8.48358,inf,223
2021-06-18 12:27:01 CET,65,26.125,100,6.693,8.4518,inf,221
2021-06-18 12:27:20 CET,66,26.125,100,6.883,8.40641,inf,230
2021-06-18 12:27:39 CET,67,26.125,100,7.142,8.41549,inf,219
2021-06-18 12:27:59 CET,68,26.125,100,7.714,8.40641,inf,220
2021-06-18 12:28:18 CET,69,26.125,100,7.98,8.41549,inf,219
2021-06-18 12:28:38 CET,70,26.125,100,7.302,8.41095,inf,219
2021-06-18 12:28:58 CET,71,26.125,100,6.998,8.41095,inf,215
2021-06-18 12:29:17 CET,72,26.125,100,7.226,8.41095,inf,218
2021-06-18 12:30:14 CET,73,26.125,100,7.287,8.42003,inf,224
2021-06-18 12:30:34 CET,74,26.125,100,7.31,8.41549,inf,219
2021-06-18 12:30:53 CET,75,26.125,100,7.333,8.41549,inf,223
2021-06-18 12:31:13 CET,76,26.125,100,7.112,8.42003,inf,224
2021-06-18 12:31:32 CET,77,26.0625,100,12.29,8.41095,inf,221
2021-06-18 12:31:52 CET,78,26.125,100,3.586,8.42003,inf,222
2021-06-18 12:32:11 CET,79,26.0625,100,6.99,8.42911,inf,214
2021-06-18 12:32:31 CET,80,26.125,100,6.99,8.41549,inf,219
2021-06-18 12:34:04 CET,81,26.125,100,15.237,8.41549,inf,219
2021-06-18 12:34:24 CET,82,26.0625,100,1.644,8.41549,inf,215
2021-06-18 12:34:44 CET,83,26.0625,100,7.142,8.41549,inf,219
2021-06-18 12:35:03 CET,84,26.0625,100,0,8.41095,inf,218
2021-06-18 12:35:22 CET,85,26.0625,100,7.165,8.44726,inf,217
2021-06-18 12:35:42 CET,86,26.125,100,5.749,8.41549,inf,218
2021-06-18 12:36:02 CET,87,26.0625,100,0.875,8.41549,inf,218
2021-06-18 12:36:21 CET,88,26.0625,100,6.632,8.41549,inf,218
2021-06-18 12:36:41 CET,89,26.125,100,6.883,8.41095,inf,222
2021-06-18 12:37:00 CET,90,26.0625,100,8.528,8.40641,inf,223
2021-06-18 12:37:20 CET,91,26.125,100,7.691,8.42911,inf,223
2021-06-18 12:37:39 CET,92,26.0625,100,17.278,8.42003,inf,224
2021-06-18 12:37:59 CET,93,26.125,100,10.188,8.41549,inf,226
2021-06-18 12:38:18 CET,94,26.125,100,11.673,8.41549,inf,227
2021-06-18 12:38:38 CET,95,26.125,100,6.716,8.42911,inf,231
2021-06-18 12:38:58 CET,96,26.125,100,8.673,8.40641,inf,228
2021-06-18 12:39:17 CET,97,26.0625,100,6.975,8.41095,inf,229
2021-06-18 12:39:37 CET,98,26.0625,100,7.12,8.41549,inf,226
2021-06-18 12:39:56 CET,99,26.0625,100,7.675,8.41095,inf,225
2021-06-18 12:40:16 CET,100,26.125,100,0,8.41549,inf,224
