created_at,entry_id,Temp,Turbidity,DO,PH,Ammonia,Nitrate,latitude,longitude,elevation,status
2021-06-18 12:38:46 CET,1,-127,98,0,4.90648,0,0,,,,
2021-06-18 12:41:40 CET,2,25.875,64,0,4.82477,inf,128,,,,
2021-06-18 12:41:59 CET,3,26,64,0,5.27872,1.07622,757,,,,
2021-06-18 12:42:51 CET,4,25.8125,51,0,5.09714,7.00692,853,,,,
2021-06-18 12:43:10 CET,5,25.875,51,0,4.92464,1.60178,719,,,,
2021-06-18 12:43:30 CET,6,25.8125,52,0,5.03359,3.90971,615,,,,
2021-06-18 12:43:49 CET,7,25.875,52,0,5.05174,5.75912,582,,,,
2021-06-18 12:44:09 CET,8,25.875,52,0,4.93372,8.77927,546,,,,
2021-06-18 12:44:29 CET,9,25.8125,51,0,5.0472,9.95508,546,,,,
2021-06-18 12:44:48 CET,10,25.8125,52,0,4.85655,9.87691,559,,,,
2021-06-18 12:45:45 CET,11,25.875,52,0,4.8974,12.99564,543,,,,
2021-06-18 12:46:04 CET,12,25.8125,53,0,4.90648,12.99564,531,,,,
2021-06-18 12:46:24 CET,13,25.875,53,0,4.98365,11.99564,529,,,,
2021-06-18 12:46:44 CET,14,25.8125,52,0,4.88832,12.94358,538,,,,
2021-06-18 12:47:03 CET,15,25.875,52,0,4.89286,12.89173,536,,,,
2021-06-18 12:47:23 CET,16,25.8125,53,0,4.98819,13.80417,531,,,,
2021-06-18 12:47:42 CET,17,25.8125,53,0,4.93372,12.99564,543,,,,
2021-06-18 12:48:02 CET,18,25.8125,52,0,4.87017,12.28669,549,,,,
2021-06-18 12:48:21 CET,19,25.875,53,0,4.99273,12.99564,555,,,,
2021-06-18 12:48:41 CET,20,25.875,53,0,4.98819,9.95508,570,,,,
2021-06-18 12:49:01 CET,21,25.8125,53,0,4.88832,11.75873,561,,,,
2021-06-18 12:49:20 CET,22,25.8125,53,0,4.98819,11.99564,560,,,,
2021-06-18 12:49:40 CET,23,25.8125,52,0,4.98819,11.61898,569,,,,
2021-06-18 12:50:00 CET,24,25.875,53,0,4.97911,11.85289,558,,,,
2021-06-18 12:50:19 CET,25,25.8125,53,0,4.85201,10.68908,561,,,,
2021-06-18 12:50:39 CET,26,25.875,53,0,4.85201,10.11342,565,,,,
2021-06-18 12:50:58 CET,27,25.8125,53,0,4.97457,10.47957,563,,,,
2021-06-18 12:51:55 CET,28,25.875,54,0,4.92464,8.71086,554,,,,
2021-06-18 12:52:14 CET,29,25.875,54,0,4.82477,20.62289,567,,,,
2021-06-18 12:52:34 CET,30,25.875,54,0,4.93372,19.29713,557,,,,
2021-06-18 12:52:53 CET,31,25.875,54,0,4.9201,14.9067,549,,,,
2021-06-18 12:53:12 CET,32,25.875,57,0,4.8974,10.07359,547,,,,
2021-06-18 12:53:32 CET,33,25.8125,50,0,4.93826,8.98798,602,,,,
2021-06-18 12:53:51 CET,34,25.8125,47,0,4.89286,8.77927,576,,,,
2021-06-18 12:54:11 CET,35,25.8125,45,0,4.9201,16.23662,570,,,,
2021-06-18 12:54:31 CET,36,25.875,45,0,4.90648,6.95299,559,,,,
2021-06-18 12:54:50 CET,37,25.875,43,0,4.9201,8.71086,570,,,,
2021-06-18 12:55:10 CET,38,25.8125,43,0,4.92464,9.23812,574,,,,
2021-06-18 12:55:29 CET,39,25.875,43,0,4.86563,8.8137,567,,,,
2021-06-18 12:55:49 CET,40,25.8125,42,0,4.97457,10.11342,566,,,,
2021-06-18 12:56:08 CET,41,25.875,43,0,4.90648,11.66536,560,,,,
2021-06-18 12:56:28 CET,42,25.875,42,0,4.9201,12.68658,565,,,,
2021-06-18 12:56:47 CET,43,25.875,42,0,4.96549,11.94786,566,,,,
2021-06-18 12:57:07 CET,44,25.875,42,0,4.9201,13.52881,560,,,,
2021-06-18 12:57:26 CET,45,25.8125,43,0,4.90648,12.99564,560,,,,
2021-06-18 12:57:46 CET,46,25.8125,43,0,4.86563,13.97225,560,,,,
2021-06-18 12:58:43 CET,47,25.8125,44,0,4.9201,16.84527,560,,,,
2021-06-18 12:59:02 CET,48,25.8125,44,0,4.90648,15.71548,560,,,,
2021-06-18 12:59:22 CET,49,25.875,44,0,4.88832,13.91598,560,,,,
2021-06-18 12:59:41 CET,50,25.8125,45,0,4.86109,10.27445,562,,,,
2021-06-18 13:00:01 CET,51,25.8125,45,0,4.9201,11.71194,560,,,,
2021-06-18 13:00:20 CET,52,25.8125,44,0,4.91556,11.85289,560,,,,
2021-06-18 13:00:40 CET,53,25.8125,44,0,4.87471,13.6933,560,,,,
2021-06-18 13:01:00 CET,54,25.8125,44,0,4.90648,13.85995,560,,,,
2021-06-18 13:01:19 CET,55,25.8125,45,0,4.89286,13.20615,562,,,,
2021-06-18 13:01:39 CET,56,25.875,45,0,4.87471,11.43541,559,,,,
2021-06-18 13:01:58 CET,57,25.8125,45,0,4.86109,12.04363,556,,,,
2021-06-18 13:10:50 CET,58,25.875,45,0,4.86109,12.43505,574,,,,
2021-06-18 13:11:09 CET,59,25.875,45,0,4.86109,11.29977,578,,,,
2021-06-18 13:11:29 CET,60,25.8125,45,0,4.87017,11.43541,579,,,,
2021-06-18 13:11:48 CET,61,25.875,45,0,4.85655,11.94786,579,,,,
2021-06-18 13:12:08 CET,62,25.875,45,0,4.87471,12.14024,574,,,,
2021-06-18 13:12:27 CET,63,25.875,45,0,4.90648,13.85995,575,,,,
2021-06-18 13:12:47 CET,64,25.875,46,0,4.86109,13.58341,573,,,,
2021-06-18 13:13:07 CET,65,25.8125,46,0,4.86563,11.71194,577,,,,
2021-06-18 13:13:26 CET,66,25.8125,45,0,4.85655,12.18885,576,,,,
2021-06-18 13:14:23 CET,67,25.875,46,0,4.86109,12.84011,576,,,,
