created_at,entry_id,Temp,Turbidity,Dissolved O2,pH,Ammonia,Ntrate
2021-06-18 11:51:16 CET,1,25.0625,12,12.222,7.24885,2.1888,139
2021-06-18 11:51:36 CET,2,25.0625,13,16.171,7.24885,1.85151,142
2021-06-18 11:51:55 CET,3,25.0625,12,6.031,7.24885,2.15646,139
2021-06-18 11:52:15 CET,4,25.0625,13,11.109,7.26246,2.20516,134
2021-06-18 11:52:34 CET,5,25.0625,13,10.652,7.24885,2.25498,133
2021-06-18 11:52:54 CET,6,25,14,13.424,7.24885,2.33184,138
2021-06-18 11:57:49 CET,7,25.0625,12,23.428,7.24885,3.32586,133
2021-06-18 11:58:15 CET,8,25.125,13,12.046,7.24431,2.97223,135
2021-06-18 11:59:16 CET,9,25.0625,12,11.509,7.24885,3.4661,133
2021-06-18 11:59:35 CET,10,25.0625,12,3.107,7.25792,3.14396,132
2021-06-18 11:59:55 CET,11,25.0625,13,16.996,7.25792,3.16761,135
2021-06-18 12:00:51 CET,12,25.0625,12,11.734,7.23523,3.42726,139
2021-06-18 12:01:11 CET,13,25.0625,12,11.886,7.25338,3.09719,139
2021-06-18 12:02:00 CET,14,25.125,12,16.427,7.25338,3.12048,134
2021-06-18 12:03:01 CET,15,25.0625,12,9.523,7.27608,3.68103,140
2021-06-18 12:03:51 CET,16,25.0625,12,10.164,7.24885,3.47915,138
2021-06-18 12:04:13 CET,17,25.0625,13,8.322,7.24431,3.13219,142
2021-06-18 12:04:37 CET,18,25.0625,13,7.633,7.24885,3.20343,141
2021-06-18 12:04:56 CET,19,25.0625,13,0.913,7.23069,3.07408,140
2021-06-18 12:05:25 CET,20,25.0625,12,1.041,7.24885,3.41442,137
2021-06-18 12:05:47 CET,21,25.0625,13,19.487,7.24431,3.10881,137
2021-06-18 12:06:12 CET,22,25.0625,13,12.302,7.24431,3.22754,139
2021-06-18 12:06:48 CET,23,25.0625,13,11.109,7.24885,3.03973,143
2021-06-18 12:07:45 CET,24,25.0625,12,18.246,7.23977,3.62604,141
2021-06-18 12:08:41 CET,25,25.0625,13,28.114,7.24431,3.47915,140
2021-06-18 12:09:00 CET,26,25.0625,14,9.924,7.25338,3.15576,141
2021-06-18 12:09:20 CET,27,25.0625,15,11.686,7.24431,3.51859,142
2021-06-18 12:09:39 CET,28,25.125,13,19.783,7.24431,3.38887,139
2021-06-18 12:09:59 CET,29,25.0625,13,8.201,7.23977,3.42726,138
2021-06-18 12:10:19 CET,30,25.0625,14,17.461,7.24885,3.45311,133
2021-06-18 12:15:38 CET,31,25.125,14,11.55,7.24431,3.9992,137
2021-06-18 12:15:57 CET,32,25.0625,15,9.924,7.23977,3.42726,137
2021-06-18 12:16:16 CET,33,25.0625,14,7.673,7.23977,3.63971,135
2021-06-18 12:16:36 CET,34,25.0625,15,10.276,7.24885,3.5585,136
2021-06-18 12:16:56 CET,35,25.0625,15,12.358,7.24431,3.58536,137
2021-06-18 12:17:16 CET,36,25.125,15,16.155,7.24431,3.61243,137
2021-06-18 12:17:35 CET,37,25.125,14,8.602,7.24431,3.68103,134
2021-06-18 12:17:55 CET,38,25.0625,15,13.824,7.24431,3.45311,137
2021-06-18 12:18:14 CET,39,25.125,15,0,7.25792,3.5585,136
2021-06-18 12:18:34 CET,40,25.125,14,7.04,7.28516,3.98414,135
2021-06-18 12:18:54 CET,41,25.125,14,7.865,7.24431,4.09081,134
2021-06-18 12:19:13 CET,42,25.125,16,7.849,7.267,3.73688,138
2021-06-18 12:19:32 CET,43,25.0625,15,7.977,7.24431,3.70885,134
2021-06-18 12:19:52 CET,44,25.125,15,5.294,7.25338,3.58536,137
2021-06-18 12:20:11 CET,45,25.125,15,13.143,7.24885,3.68103,137
2021-06-18 12:20:31 CET,46,25.125,15,11.846,7.24885,3.5585,139
2021-06-18 12:20:51 CET,47,25.125,15,4.1,7.24431,3.5585,139
2021-06-18 12:21:10 CET,48,25.125,15,9.347,7.24885,3.51859,142
2021-06-18 12:21:30 CET,49,25.0625,15,12.583,7.24885,3.61243,141
2021-06-18 12:21:49 CET,50,25.125,15,14.409,7.25792,3.42726,139
2021-06-18 12:22:09 CET,51,25.125,16,12.839,7.24431,3.36352,134
2021-06-18 12:22:28 CET,52,25.125,15,12.767,7.24885,3.40162,141
2021-06-18 12:22:48 CET,53,25.125,15,11.045,7.24431,3.20343,143
2021-06-18 12:23:07 CET,54,25.0625,15,12.935,7.24885,3.14396,142
2021-06-18 12:24:04 CET,55,25.125,14,11.133,7.23977,3.58536,140
2021-06-18 12:24:23 CET,56,25.125,14,9.851,7.24431,3.36352,139
2021-06-18 12:24:43 CET,57,25.0625,14,8.145,7.30332,3.69491,142
2021-06-18 12:25:40 CET,58,25.0625,14,16.612,7.23523,3.53184,139
2021-06-18 12:26:00 CET,59,25.0625,15,8.794,7.24431,3.15576,146
2021-06-18 12:26:19 CET,60,25.125,15,0,7.24431,3.31341,144
2021-06-18 12:26:39 CET,61,25.0625,14,8.466,7.30332,3.37617,144
2021-06-18 12:26:58 CET,62,25.125,15,8.346,7.25338,2.98337,144
2021-06-18 12:27:55 CET,63,25.125,14,2.731,7.25792,3.26406,144
2021-06-18 12:28:14 CET,64,25.0625,14,10.06,7.24431,3.01706,142
2021-06-18 12:28:34 CET,65,25.125,16,9.843,7.24431,3.16761,127
2021-06-18 12:28:54 CET,66,25.125,14,4.853,7.23977,3.13219,140
2021-06-18 12:29:13 CET,67,25.125,15,0,7.24885,3.03973,143
2021-06-18 12:29:33 CET,68,25.0625,14,7.985,7.24431,2.97223,145
2021-06-18 12:29:52 CET,69,25.0625,15,9.739,7.24431,2.92807,139
2021-06-18 12:30:12 CET,70,25.0625,14,12.855,7.24885,2.98337,144
2021-06-18 12:30:32 CET,71,25.125,15,11.734,7.25338,2.93905,133
2021-06-18 12:30:51 CET,72,25.0625,16,8.306,7.23977,3.02838,139
2021-06-18 12:31:11 CET,73,25.0625,14,8.434,7.23523,3.12048,131
2021-06-18 12:31:30 CET,74,25.0625,15,8.914,7.24885,3.15576,134
2021-06-18 12:31:50 CET,75,25.125,14,3.235,7.24885,3.16761,131
2021-06-18 12:32:10 CET,76,25.0625,14,8.466,7.24431,3.33837,142
2021-06-18 12:33:06 CET,77,25.125,15,7.2,7.24431,3.33837,134
2021-06-18 12:33:25 CET,78,25.125,15,6.912,7.25792,3.33837,134
2021-06-18 12:34:22 CET,79,25.125,14,9.787,7.25792,3.33837,138
2021-06-18 12:34:42 CET,80,25.0625,15,7.809,7.25792,3.42726,132
2021-06-18 12:35:02 CET,81,25.0625,16,7.841,7.25792,3.14396,136
2021-06-18 12:35:21 CET,82,25.0625,15,7.489,7.24885,3.4661,133
2021-06-18 12:35:41 CET,83,25.125,16,3.283,7.32148,3.08561,142
2021-06-18 12:36:01 CET,84,25.0625,14,12.174,7.24885,3.37617,144
2021-06-18 12:36:20 CET,85,25.0625,15,15.634,7.24885,3.301,138
2021-06-18 12:36:40 CET,86,25.0625,15,10.14,7.24431,3.1795,138
2021-06-18 12:36:59 CET,87,25.125,14,0.368,7.24431,3.301,141
2021-06-18 12:37:19 CET,88,25.125,16,10.54,7.24431,2.98337,144
2021-06-18 12:37:38 CET,89,25.0625,15,9.763,7.23523,3.03973,143
2021-06-18 12:37:59 CET,90,25.125,15,9.795,7.24885,2.93905,142
2021-06-18 12:38:18 CET,91,25.0625,15,12.631,7.24431,2.76839,143
2021-06-18 12:38:38 CET,92,25.0625,15,4.221,7.24885,2.67687,144
2021-06-18 12:38:58 CET,93,25.125,15,3.099,7.24431,2.64705,145
2021-06-18 12:39:17 CET,94,25.125,15,8.338,7.25792,2.67687,141
2021-06-18 12:39:37 CET,95,25.125,15,9.227,7.24885,2.54059,140
2021-06-18 12:39:56 CET,96,25.0625,15,7.513,7.4849,2.48437,141
2021-06-18 12:40:16 CET,97,25.0625,15,10.316,7.24431,2.96113,131
2021-06-18 12:40:35 CET,98,25.125,16,9.539,7.25792,3.08561,132
2021-06-18 12:40:55 CET,99,25.125,15,6.271,7.24431,2.71716,137
2021-06-18 12:41:15 CET,100,25.125,14,11.205,7.24431,3.25184,138
2021-06-18 12:41:34 CET,101,25.125,15,22.371,7.24885,3.21546,130
2021-06-18 12:41:54 CET,102,25.0625,15,10.204,7.25338,3.27632,133
2021-06-18 12:42:13 CET,103,25.125,15,10.5,7.24885,3.23967,135
2021-06-18 12:42:33 CET,104,25.0625,14,9.843,7.23523,2.96113,143
2021-06-18 12:43:29 CET,105,25.0625,14,9.227,7.25338,3.26406,141
2021-06-18 12:43:49 CET,106,25.125,15,8.53,7.24431,3.35092,133
2021-06-18 12:44:09 CET,107,25.125,14,2.939,7.24885,3.33837,133
2021-06-18 12:45:06 CET,108,25.125,14,6.431,7.24885,3.26406,143
2021-06-18 12:45:26 CET,109,25.125,16,1.505,7.23523,3.33837,137
2021-06-18 12:45:45 CET,110,25.125,16,11.662,7.24431,3.42726,133
2021-06-18 12:46:05 CET,111,25.0625,15,7,7.24431,3.28864,135
2021-06-18 12:46:25 CET,112,25.125,15,1.89,7.25338,3.301,134
2021-06-18 12:46:44 CET,113,25.125,15,6.567,7.24431,3.33837,137
2021-06-18 12:47:04 CET,114,25.125,15,7.184,7.25792,3.20343,134
2021-06-18 12:47:23 CET,115,25.0625,14,8.946,7.24431,3.14396,143
2021-06-18 12:47:42 CET,116,25.0625,15,7.865,7.25338,3.19144,139
2021-06-18 12:48:02 CET,117,25.0625,16,8.29,7.24431,3.16761,144
2021-06-18 12:48:22 CET,118,25.0625,14,10.452,7.24431,2.92807,147
2021-06-18 12:48:41 CET,119,25.125,15,0.256,7.25338,2.8954,144
2021-06-18 12:49:01 CET,120,25.0625,14,7.288,7.24431,2.67687,145
2021-06-18 12:49:20 CET,121,25.125,14,6.872,7.24885,2.71716,145
2021-06-18 12:49:40 CET,122,25.0625,14,17.108,7.24885,2.63719,145
2021-06-18 12:50:00 CET,123,25.125,14,11.493,7.24885,2.62737,144
2021-06-18 12:50:19 CET,124,25.125,14,9.811,7.24885,2.65695,144
2021-06-18 12:50:39 CET,125,25.125,15,8.474,7.24885,2.47513,143
2021-06-18 12:50:58 CET,126,25.125,15,9.339,7.24885,2.69694,141
2021-06-18 12:51:18 CET,127,25.125,15,9.099,7.25792,2.74778,135
2021-06-18 12:51:37 CET,128,25.125,15,2.619,7.24885,2.66689,135
2021-06-18 12:51:57 CET,129,25.0625,16,15.066,7.24431,2.71716,138
2021-06-18 12:52:16 CET,130,25.0625,14,7.192,7.24885,2.81008,144
2021-06-18 12:52:36 CET,131,25.0625,15,7.024,7.24885,2.57879,144
2021-06-18 12:52:55 CET,132,25.0625,15,8.914,7.25792,2.76839,139
2021-06-18 12:53:15 CET,133,25.0625,14,11.886,7.25338,2.7996,138
2021-06-18 12:53:34 CET,134,25.125,14,10.765,7.29424,2.84177,143
2021-06-18 12:54:31 CET,135,25.125,15,8.033,7.28516,2.33184,149
2021-06-18 12:54:50 CET,136,25.125,15,7.136,7.24885,2.24659,150
2021-06-18 12:55:10 CET,137,25.125,15,7.336,7.09904,2.14845,148
2021-06-18 12:55:29 CET,138,25.125,14,7.304,7.27154,2.35805,145
2021-06-18 12:55:49 CET,139,25.125,14,6.223,7.2897,2.33184,144
2021-06-18 12:56:08 CET,140,25.125,14,8.354,7.27154,2.30593,143
2021-06-18 12:56:28 CET,141,25.125,14,10.949,7.24431,2.32317,145
2021-06-18 12:56:47 CET,142,25.125,16,3.748,7.25338,2.42037,134
2021-06-18 12:57:07 CET,143,25.125,15,7.665,7.24885,2.0777,141
2021-06-18 12:57:27 CET,144,25.125,16,6.007,7.23977,2.08544,141
2021-06-18 12:57:46 CET,145,25.0625,16,11.173,7.24431,2.37569,135
2021-06-18 12:58:06 CET,146,25.125,14,1.305,7.24431,2.39346,139
2021-06-18 12:58:26 CET,147,25.125,16,9.515,7.24885,2.42941,144
2021-06-18 12:58:45 CET,148,25.125,14,12.839,7.24885,2.39346,144
2021-06-18 12:59:04 CET,149,25.125,14,8.61,7.24431,2.37569,144
2021-06-18 12:59:24 CET,150,25.125,16,8.778,7.23523,2.27183,144
2021-06-18 12:59:43 CET,151,25.125,15,14.393,7.23069,2.55009,138
2021-06-18 13:00:03 CET,152,25.0625,16,8.762,7.25338,2.43849,150
2021-06-18 13:00:23 CET,153,25.125,15,6.255,7.25338,2.62737,140
2021-06-18 13:01:19 CET,154,25.125,14,10.997,7.24431,2.61758,142
2021-06-18 13:01:39 CET,155,25.125,15,11.133,7.24885,2.62737,139
2021-06-18 13:01:58 CET,156,25.125,15,11.213,7.267,2.63719,140
2021-06-18 13:02:18 CET,157,25.0625,15,15.018,7.24885,2.4476,146
2021-06-18 13:02:38 CET,158,25.125,15,7.104,7.25792,2.33184,144
2021-06-18 13:02:57 CET,159,25.125,15,6.696,7.24885,2.62737,142
2021-06-18 13:03:17 CET,160,25.125,15,6.183,7.23523,2.4024,144
2021-06-18 13:03:37 CET,161,25.125,15,7.761,7.28516,2.68689,140
2021-06-18 13:03:57 CET,162,25.0625,15,10.909,7.25338,2.49365,144
2021-06-18 13:04:16 CET,163,25.125,14,11.934,7.23977,2.33184,143
2021-06-18 13:04:36 CET,164,25.125,15,10.636,7.27154,2.38456,144
