created_at,entry_id,Temp,Turbidity,DO,PH,Ammonia,Nitrate,latitude,longitude,elevation,status
2021-06-18 13:06:49 CET,1,-127,95,0,8.34286,0,0,,,,
2021-06-18 13:07:10 CET,2,24.875,16,0,8.34286,0.00002,3114,,,,
2021-06-18 13:07:52 CET,3,24.6875,-2,0,8.36101,0.00042,2454,,,,
2021-06-18 13:08:12 CET,4,24.6875,-2,0,8.37463,0.0115,1745,,,,
2021-06-18 13:08:31 CET,5,24.6875,-1,0,8.36101,0.03008,1459,,,,
2021-06-18 13:08:51 CET,6,24.6875,-2,0,8.37917,0.06163,1317,,,,
2021-06-18 13:09:11 CET,7,24.6875,-2,0,8.36555,0.10774,1205,,,,
2021-06-18 13:09:30 CET,8,24.6875,67,0,8.37463,0.15996,1123,,,,
2021-06-18 13:09:50 CET,9,24.6875,64,0,8.35647,0.252,1059,,,,
2021-06-18 13:10:16 CET,10,24.75,42,0,8.36101,0.36736,993,,,,
2021-06-18 13:10:36 CET,11,24.875,21,21.603,8.37463,0.44489,869,,,,
2021-06-18 13:10:55 CET,12,25.875,20,12.358,8.35194,0.55239,899,,,,
2021-06-18 13:11:15 CET,13,25.9375,20,15.49,8.35647,0.60251,881,,,,
2021-06-18 13:11:34 CET,14,25.9375,21,16.844,8.36101,0.66447,871,,,,
2021-06-18 13:11:54 CET,15,26,22,14.453,8.35647,0.73535,842,,,,
2021-06-18 13:12:14 CET,16,25.9375,21,15.554,8.3474,0.82893,848,,,,
2021-06-18 13:12:33 CET,17,26,21,14.125,8.34286,0.91346,832,,,,
2021-06-18 13:12:53 CET,18,25.9375,21,16.027,8.33832,0.99526,825,,,,
2021-06-18 13:13:12 CET,19,26,21,13.44,8.33378,1.06824,816,,,,
2021-06-18 13:13:32 CET,20,26,20,13.935,8.33832,1.16368,809,,,,
2021-06-18 13:13:51 CET,21,25.9375,21,15.554,8.34286,1.25817,778,,,,
2021-06-18 13:14:11 CET,22,26,21,19.631,8.3474,1.16801,789,,,,
2021-06-18 13:14:30 CET,23,25.9375,19,14.769,8.32016,1.46518,784,,,,
2021-06-18 13:14:50 CET,24,26,19,13.821,8.3247,1.57816,771,,,,
2021-06-18 13:15:09 CET,25,26,19,15.009,8.32016,1.61373,769,,,,
2021-06-18 13:15:32 CET,26,26,18,13.973,8.31108,1.8378,762,,,,
2021-06-18 13:16:29 CET,27,25.9375,17,15.09,8.3247,2.19697,743,,,,
2021-06-18 13:16:49 CET,28,26,18,14.422,8.3247,2.28882,725,,,,
