created_at,entry_id,Temp,Turbidity,Dssolved O2,pH,Ammonia,Nitrate
2021-06-25 18:10:27 CET,79,27.1875,100,2.539,8.16128,inf,1015
2021-06-25 18:11:23 CET,80,27.1875,100,6.925,8.14766,inf,1021
2021-06-25 18:12:19 CET,81,27.1875,100,17.526,8.12042,inf,1017
2021-06-25 18:12:39 CET,82,27.1875,100,0,8.11134,inf,1021
2021-06-25 18:14:13 CET,83,27.1875,100,4.182,8.11588,inf,1021
2021-06-25 18:15:46 CET,84,27.1875,100,12.142,8.15674,inf,1017
2021-06-25 18:16:06 CET,85,27.1875,100,7.366,8.13858,inf,1028
2021-06-25 18:16:25 CET,86,27.1875,100,11.194,8.1295,inf,1018
2021-06-25 18:17:59 CET,87,27.1875,100,4.949,8.12042,inf,1020
2021-06-25 18:18:19 CET,88,27.1875,100,3.936,8.11588,inf,1021
2021-06-25 18:21:06 CET,89,27.1875,100,14.675,8.1749,inf,1011
2021-06-25 18:22:02 CET,90,27.1875,100,2.605,8.11134,inf,1028
2021-06-25 18:22:22 CET,91,27.1875,100,13.047,8.10226,inf,1017
2021-06-25 18:22:42 CET,92,27.1875,100,0,8.13404,inf,1014
2021-06-25 18:23:39 CET,93,27.1875,100,8.524,8.14312,inf,1012
2021-06-25 18:23:58 CET,94,27.1875,100,16.006,8.12496,inf,1010
2021-06-25 18:24:18 CET,95,27.1875,100,15.833,8.13404,inf,1011
2021-06-25 18:25:52 CET,96,27.1875,100,7.504,8.11588,inf,1012
2021-06-25 18:26:11 CET,97,27.125,100,6.838,8.14766,inf,1018
2021-06-25 18:27:08 CET,98,27.1875,100,6.722,8.12042,inf,1015
2021-06-25 18:28:41 CET,99,27.1875,100,8.198,8.14766,inf,1022
2021-06-25 18:29:01 CET,100,27.1875,100,7.489,8.14312,inf,1030
2021-06-25 18:29:20 CET,101,27.1875,100,5.767,8.12042,inf,1038
2021-06-25 18:29:40 CET,102,27.1875,100,24.762,8.12042,inf,1035
2021-06-25 18:29:59 CET,103,27.1875,100,15.435,8.11134,inf,1040
2021-06-25 18:31:33 CET,104,27.1875,100,2.388,8.12042,inf,1043
2021-06-25 18:31:53 CET,105,27.25,100,6.708,8.11134,inf,1043
2021-06-25 18:32:12 CET,106,27.1875,100,7.424,8.15674,inf,1049
2021-06-25 18:32:32 CET,107,27.1875,100,8.893,8.10226,inf,1047
2021-06-25 18:32:51 CET,108,27.25,100,0,8.1749,inf,1046
2021-06-25 18:34:06 CET,109,27.1875,100,6.946,8.12042,inf,1053
2021-06-25 18:35:59 CET,110,27.1875,100,7.815,8.10226,inf,1023
2021-06-25 18:36:55 CET,111,27.1875,100,13.72,8.13858,inf,1047
2021-06-25 18:37:51 CET,112,27.125,100,0,8.13858,inf,1051
2021-06-25 18:40:02 CET,113,27.125,100,15.341,8.16128,inf,1047
2021-06-25 18:40:22 CET,114,27.125,100,10.883,8.10226,inf,1049
2021-06-25 18:41:56 CET,115,27.1875,100,6.527,8.14766,inf,1044
2021-06-25 18:43:47 CET,116,27.1875,100,8.567,8.12496,inf,1065
2021-06-25 18:44:07 CET,117,27.1875,100,0,8.1295,inf,1066
2021-06-28 06:40:10 CET,118,23.5,100,0,7.53483,inf,1011
