created_at,entry_id,Temp,Turbidity,Dissolved O2,pH,Ammonia,Nitrate
2021-06-18 12:56:59 CET,1,26.125,79,12.93,8.54713,704.84412,464
2021-06-18 12:57:21 CET,2,26.1875,80,9.244,8.4518,0.38618,901
2021-06-18 12:57:41 CET,3,26.1875,79,9.107,8.50174,0.29928,837
2021-06-18 12:58:01 CET,4,26.1875,79,10.729,8.5199,0.35897,823
2021-06-18 12:58:20 CET,5,26.1875,79,9.077,8.51536,0.39974,813
2021-06-18 12:58:40 CET,6,26.125,79,9.054,8.5199,0.43983,829
2021-06-18 12:59:00 CET,7,26.125,79,9.366,8.51082,0.49679,819
2021-06-18 12:59:20 CET,8,26.1875,79,9.366,8.5199,0.53592,803
2021-06-18 12:59:39 CET,9,26.125,79,9.046,8.43365,0.59349,813
2021-06-18 12:59:59 CET,10,26.1875,79,9.61,8.52444,0.64477,808
2021-06-18 13:00:19 CET,11,26.1875,79,10.562,8.5199,0.68474,811
2021-06-18 13:00:38 CET,12,26.125,79,10.501,8.5199,0.72712,802
2021-06-18 13:00:57 CET,13,26.1875,80,14.072,8.54259,0.80149,831
2021-06-18 13:01:17 CET,14,26.1875,80,11.643,8.52897,0.80149,819
2021-06-18 13:01:36 CET,15,26.1875,80,2.756,8.5199,0.84457,818
2021-06-18 13:01:56 CET,16,26.125,80,12.107,8.51082,0.88329,807
2021-06-18 13:10:48 CET,17,26.125,80,8.78,8.52444,1.44357,814
2021-06-18 13:11:08 CET,18,26.125,80,18.74,8.51536,1.43289,799
2021-06-18 13:11:27 CET,19,26.125,80,10.028,8.54713,1.44894,801
2021-06-18 13:11:47 CET,20,26.1875,80,8.467,8.52897,1.44894,815
2021-06-18 13:12:07 CET,21,26.1875,80,9.846,8.52444,1.48711,798
2021-06-18 13:12:26 CET,22,26.1875,80,9.747,8.51082,1.50937,801
2021-06-18 13:12:45 CET,23,26.125,80,8.467,8.5199,1.52062,800
2021-06-18 13:13:05 CET,24,26.125,80,8.483,8.52444,1.57816,815
2021-06-18 13:13:25 CET,25,26.125,80,10.409,8.52897,1.53196,801
2021-06-18 13:13:44 CET,26,26.125,80,4.515,8.52897,1.60178,800
2021-06-18 13:14:04 CET,27,26.1875,81,9.054,8.5199,1.53196,789
2021-06-18 13:14:24 CET,28,26.1875,80,9.077,8.52444,1.61973,812
2021-06-18 13:14:43 CET,29,26.1875,80,6.655,8.5199,1.63181,799
2021-06-18 13:15:03 CET,30,26.125,80,9.343,8.52897,1.61973,815
2021-06-18 13:15:22 CET,31,26.125,80,9.678,8.50628,1.63788,801
2021-06-18 13:15:41 CET,32,26.1875,80,9.366,8.52897,1.63788,801
2021-06-18 13:16:01 CET,33,26.125,80,9.313,8.5199,1.63181,816
2021-06-18 13:16:20 CET,34,26.1875,80,8.924,8.52444,1.64397,801
2021-06-18 13:16:40 CET,35,26.125,80,7.896,8.53805,1.46518,831
2021-06-18 13:16:59 CET,36,26.1875,80,9.183,8.52444,1.65623,817
2021-06-18 13:17:19 CET,37,26.1875,80,8.909,8.5199,1.58993,865
2021-06-18 13:17:38 CET,38,26.125,80,10.097,8.5199,1.35523,902
2021-06-18 13:17:58 CET,39,26.1875,81,11.452,8.52897,1.29133,933
2021-06-18 13:18:17 CET,40,26.1875,80,7.675,8.5199,1.22131,913
2021-06-18 13:18:37 CET,41,26.1875,80,5.452,8.5199,1.13799,912
2021-06-18 13:18:56 CET,42,26.1875,80,9.099,8.52444,1.13799,909
2021-06-18 13:19:16 CET,43,26.125,80,9.244,8.52444,1.13799,895
2021-06-18 13:19:35 CET,44,26.1875,80,9.625,8.5199,1.11702,887
2021-06-18 13:19:55 CET,45,26.1875,80,9.762,8.52444,1.17236,881
2021-06-18 13:20:14 CET,46,26.1875,80,8.802,8.5199,1.13377,877
2021-06-18 13:20:34 CET,47,26.1875,80,9.099,8.5199,1.20776,860
2021-06-18 13:20:53 CET,48,26.1875,80,8.186,8.50174,1.235,848
2021-06-18 13:21:49 CET,49,26.1875,80,9.153,8.5199,1.32044,843
2021-06-18 13:22:09 CET,50,26.1875,80,9.031,8.5199,1.34021,828
2021-06-18 13:22:28 CET,51,26.1875,80,12.229,8.5199,1.36534,829
2021-06-18 13:22:48 CET,52,26.125,80,7.455,8.5199,1.31066,830
2021-06-18 13:23:07 CET,53,26.1875,80,9.343,8.52444,1.43289,822
2021-06-18 13:23:27 CET,54,26.125,80,9.244,8.5199,1.4761,819
2021-06-18 13:23:47 CET,55,26.1875,80,9.092,8.52444,1.4982,815
2021-06-18 13:24:06 CET,56,26.1875,80,9.198,8.5199,1.57816,823
2021-06-18 13:24:26 CET,57,26.1875,80,6.495,8.5199,1.58993,817
2021-06-18 13:24:45 CET,58,26.1875,80,8.208,8.51082,1.63788,803
2021-06-18 13:25:05 CET,59,26.1875,80,9.191,8.58345,1.65623,815
2021-06-18 13:25:24 CET,60,26.1875,80,9.77,8.52897,1.72531,800
2021-06-18 13:25:44 CET,61,26.1875,80,8.985,8.5199,1.75114,813
2021-06-18 13:26:04 CET,62,26.125,80,8.422,8.51082,1.73818,793
2021-06-18 13:26:23 CET,63,26.1875,80,8.841,8.50174,1.77736,798
2021-06-18 13:26:43 CET,64,26.1875,80,9.061,8.5199,1.83099,790
2021-06-18 13:27:02 CET,65,26.125,80,12.496,8.5199,1.83099,801
2021-06-18 13:27:22 CET,66,26.1875,80,9.602,8.5199,1.8378,785
2021-06-18 13:28:18 CET,67,26.1875,80,9.412,8.5199,1.87924,789
2021-06-18 13:28:37 CET,68,26.1875,80,9.343,8.5199,1.95768,782
2021-06-18 13:28:57 CET,69,26.1875,80,8.178,8.52444,2.10885,780
2021-06-18 13:29:17 CET,70,26.1875,80,11.749,8.51082,1.95041,780
2021-06-18 13:29:36 CET,71,26.1875,80,9.724,8.5199,2.09322,777
2021-06-18 13:30:32 CET,72,26.1875,80,8.475,8.52444,2.18067,787
2021-06-18 13:30:52 CET,73,26.125,80,8.818,8.51082,2.17257,782
2021-06-18 13:31:11 CET,74,26.125,80,9.488,8.50628,2.22164,774
2021-06-18 13:31:31 CET,75,26.1875,80,9.739,8.5199,2.24659,786
2021-06-18 13:31:51 CET,76,26.1875,80,7.264,8.52444,2.28882,790
2021-06-18 13:32:10 CET,77,26.1875,81,5.201,8.51082,2.09322,783
