created_at,entry_id,Temp,Turbidity,DO,PH,Ammonia,Nitrate,latitude,longitude,elevation,status
2021-06-18 13:02:10 CET,1,25.375,41,40.048,8.1749,780.03149,1218,,,,
2021-06-18 13:02:30 CET,2,25.375,41,40.048,8.13858,0.14989,1968,,,,
2021-06-18 13:02:50 CET,3,25.3125,41,40.048,8.3474,0.24039,1879,,,,
2021-06-18 13:03:10 CET,4,25.3125,41,40.048,8.1749,0.31723,1792,,,,
2021-06-18 13:03:40 CET,5,25.375,31,40.048,8.14766,1.02537,1934,,,,
2021-06-18 13:03:59 CET,6,25.4375,32,40.048,8.15674,0.27255,1873,,,,
2021-06-18 13:04:19 CET,7,25.375,31,40.048,8.15674,0.81663,1597,,,,
2021-06-18 13:04:39 CET,8,25.4375,31,40.048,8.14766,1.8378,1463,,,,
2021-06-18 13:05:00 CET,9,26,33,38.075,8.15674,3.90971,1326,,,,
2021-06-18 13:05:19 CET,10,26.3125,33,38.075,8.16128,6.29023,1285,,,,
2021-06-18 13:05:39 CET,11,26.3125,33,38.075,8.15674,10.52113,1250,,,,
2021-06-18 13:10:46 CET,12,26.3125,34,38.075,8.15674,62079.92578,999,,,,
2021-06-18 13:11:05 CET,13,26.3125,34,38.075,8.15674,15100.59473,1008,,,,
2021-06-18 13:11:25 CET,14,26.375,34,38.075,8.14312,16479.16211,1003,,,,
2021-06-18 13:11:45 CET,15,26.3125,33,38.075,8.14766,46168.71484,1001,,,,
2021-06-18 13:12:04 CET,16,26.375,33,38.075,8.13858,66491.92187,994,,,,
2021-06-18 13:12:24 CET,17,26.3125,33,38.075,8.13858,534355.875,991,,,,
2021-06-18 13:12:44 CET,18,26.3125,33,38.075,8.14766,106962.9453,990,,,,
2021-06-18 13:13:03 CET,19,26.3125,33,38.075,8.13858,109056.8047,990,,,,
2021-06-18 13:13:23 CET,20,26.375,33,38.075,8.13858,111202.3906,993,,,,
2021-06-18 13:13:42 CET,21,26.375,36,38.075,8.15674,178796.4375,939,,,,
2021-06-18 13:14:02 CET,22,26.375,33,38.075,8.14766,924941.4375,1006,,,,
2021-06-18 13:14:21 CET,23,26.375,33,38.075,8.15674,5206504,999,,,,
2021-06-18 13:14:41 CET,24,26.375,33,38.075,8.18398,inf,985,,,,
2021-06-18 13:15:37 CET,25,26.375,33,38.075,8.11588,inf,967,,,,
2021-06-18 13:15:57 CET,26,26.375,33,38.075,8.14766,23714966,965,,,,
2021-06-18 13:16:16 CET,27,26.375,33,38.075,8.16128,inf,964,,,,
2021-06-18 13:16:36 CET,28,26.375,34,38.075,8.14312,inf,963,,,,
2021-06-18 13:16:55 CET,29,26.375,34,38.075,8.14312,2773230848,961,,,,
2021-06-18 13:17:15 CET,30,26.375,34,38.075,8.14766,121334088,969,,,,
2021-06-18 13:17:35 CET,31,26.375,33,38.075,8.13858,355768.0313,977,,,,
2021-06-18 13:17:54 CET,32,26.375,33,38.075,8.16582,4051.75269,1017,,,,
2021-06-18 13:18:14 CET,33,26.375,33,38.075,8.14766,1938.53235,1044,,,,
2021-06-18 13:18:33 CET,34,26.375,33,38.075,8.14312,4762.13965,1053,,,,
2021-06-18 13:18:53 CET,35,26.375,33,38.075,8.13858,17335.97852,1037,,,,
2021-06-18 13:19:12 CET,36,26.375,32,38.075,8.14312,83776.24219,1023,,,,
2021-06-18 13:19:32 CET,37,26.375,33,38.075,8.14312,208967.2656,1010,,,,
2021-06-18 13:19:51 CET,38,26.375,32,38.075,8.14312,inf,1005,,,,
2021-06-18 13:20:11 CET,39,26.375,32,38.075,8.14312,13659938,996,,,,
2021-06-18 13:20:31 CET,40,26.375,32,38.075,8.14312,inf,993,,,,
2021-06-18 13:20:50 CET,41,26.375,32,38.075,8.13858,inf,991,,,,
2021-06-18 13:21:10 CET,42,26.375,34,38.075,8.14312,inf,961,,,,
2021-06-18 13:21:29 CET,43,26.375,32,38.075,8.16128,inf,982,,,,
2021-06-18 13:21:49 CET,44,26.375,32,38.075,8.13858,inf,981,,,,
2021-06-18 13:22:08 CET,45,26.375,32,38.075,8.14312,inf,976,,,,
2021-06-18 13:22:28 CET,46,26.375,32,38.075,8.14766,inf,973,,,,
2021-06-18 13:22:47 CET,47,26.375,32,38.075,8.14766,inf,973,,,,
2021-06-18 13:23:07 CET,48,26.375,32,38.075,8.1295,inf,974,,,,
2021-06-18 13:23:26 CET,49,26.375,32,38.075,8.16128,inf,969,,,,
2021-06-18 13:23:46 CET,50,26.375,32,38.075,8.13858,inf,973,,,,
2021-06-18 13:24:05 CET,51,26.375,32,38.075,8.14312,inf,963,,,,
2021-06-18 13:25:02 CET,52,26.375,32,9.96,8.15674,inf,946,,,,
2021-06-18 13:25:21 CET,53,26.375,32,16.791,8.13858,inf,946,,,,
2021-06-18 13:25:41 CET,54,26.375,33,11.331,8.14766,inf,929,,,,
2021-06-18 13:26:00 CET,55,26.375,33,13.646,8.15674,inf,945,,,,
2021-06-18 13:26:20 CET,56,26.375,33,8.894,8.15674,inf,950,,,,
2021-06-18 13:26:40 CET,57,26.375,32,12.778,8.14766,inf,944,,,,
2021-06-18 13:26:59 CET,58,26.375,33,12.823,8.14766,inf,946,,,,
2021-06-18 13:27:19 CET,59,26.375,32,12.595,8.14766,inf,944,,,,
2021-06-18 13:27:38 CET,60,26.375,32,12.64,8.14766,inf,941,,,,
2021-06-18 13:27:58 CET,61,26.4375,33,12.442,8.11588,inf,940,,,,
2021-06-18 13:28:17 CET,62,26.375,33,13.09,8.16582,inf,935,,,,
2021-06-18 13:28:37 CET,63,26.375,33,12.976,8.14312,inf,933,,,,
2021-06-18 13:28:56 CET,64,26.4375,32,13.326,8.13858,inf,931,,,,
2021-06-18 13:29:16 CET,65,26.375,32,11.59,8.15674,inf,930,,,,
2021-06-18 13:29:35 CET,66,26.375,32,11.628,8.13858,inf,931,,,,
2021-06-18 13:29:55 CET,67,26.375,32,13.295,8.15674,inf,930,,,,
2021-06-18 13:30:14 CET,68,26.375,32,17.4,8.15674,inf,929,,,,
2021-06-18 13:30:34 CET,69,26.375,34,14.727,8.15674,inf,910,,,,
2021-06-18 13:30:53 CET,70,26.375,34,13.684,8.15674,inf,909,,,,
2021-06-18 13:31:13 CET,71,26.375,33,14.559,8.14766,inf,925,,,,
2021-06-18 13:31:32 CET,72,26.375,32,12.937,8.15674,inf,925,,,,
2021-06-18 13:31:52 CET,73,26.375,32,13.059,8.14312,inf,927,,,,
2021-06-18 13:32:11 CET,74,26.375,33,12.778,8.14312,inf,913,,,,
2021-06-18 13:32:31 CET,75,26.4375,32,24.39,8.14312,inf,918,,,,
2021-06-18 13:32:50 CET,76,26.4375,33,16.836,8.14766,inf,914,,,,
2021-06-18 13:33:10 CET,77,26.4375,32,13.486,8.16128,inf,921,,,,
2021-06-18 13:33:29 CET,78,26.375,34,17.385,8.13858,inf,923,,,,
2021-06-18 13:33:49 CET,79,26.375,33,14.582,8.14312,inf,919,,,,
2021-06-18 13:34:09 CET,80,26.375,32,16.334,8.14312,inf,919,,,,
2021-06-18 13:34:28 CET,81,26.375,32,16.227,8.14766,inf,917,,,,
2021-06-18 13:34:48 CET,82,26.375,33,15.077,8.14766,inf,922,,,,
2021-06-18 13:35:07 CET,83,26.375,33,15.405,8.16582,inf,918,,,,
2021-06-18 13:35:27 CET,84,26.4375,33,15.595,8.16128,inf,914,,,,
2021-06-18 13:35:46 CET,85,26.4375,35,16.684,8.1522,inf,867,,,,
2021-06-18 13:36:06 CET,86,26.4375,35,15.077,8.16128,inf,891,,,,
2021-06-18 13:36:25 CET,87,26.4375,35,17.484,8.1522,inf,906,,,,
2021-06-18 13:36:45 CET,88,26.4375,34,31.533,8.13858,2167664128,906,,,,
2021-06-18 13:37:04 CET,89,26.375,35,16.707,8.14312,inf,919,,,,
2021-06-18 13:37:23 CET,90,26.375,34,13.676,8.14766,inf,946,,,,
2021-06-18 13:37:43 CET,91,26.375,33,21.238,8.14312,inf,935,,,,
2021-06-18 13:38:02 CET,92,26.375,33,16.555,8.14312,inf,926,,,,
2021-06-18 13:38:22 CET,93,26.375,34,16.379,8.14766,inf,921,,,,
2021-06-18 13:38:41 CET,94,26.375,33,15.176,8.16128,inf,919,,,,
2021-06-18 13:39:01 CET,95,26.375,33,15.275,8.16128,inf,915,,,,
2021-06-18 13:39:20 CET,96,26.375,33,15.45,8.16582,inf,913,,,,
2021-06-18 13:39:40 CET,97,26.375,33,13.135,8.14766,inf,912,,,,
2021-06-18 13:40:00 CET,98,26.375,33,13.326,8.15674,inf,911,,,,
2021-06-18 13:40:19 CET,99,26.375,33,13.181,8.1749,inf,914,,,,
2021-06-18 13:40:39 CET,100,26.375,33,13.828,8.14312,inf,912,,,,
2021-06-18 13:40:58 CET,101,26.375,33,15.275,8.1522,inf,913,,,,
2021-06-18 13:41:18 CET,102,26.375,33,13.828,8.16128,inf,912,,,,
2021-06-18 13:41:37 CET,103,26.375,33,14.103,8.14766,inf,911,,,,
2021-06-18 13:41:57 CET,104,26.375,33,14.034,8.14766,inf,912,,,,
2021-06-18 13:42:53 CET,105,26.375,33,17.552,8.1522,inf,912,,,,
2021-06-18 13:43:13 CET,106,26.375,33,16.989,8.14312,inf,912,,,,
2021-06-18 13:43:33 CET,107,26.375,33,17.895,8.15674,inf,913,,,,
2021-06-18 13:43:52 CET,108,26.375,34,17.423,8.15674,inf,879,,,,
2021-06-18 13:44:12 CET,109,26.375,34,9.511,8.15674,inf,914,,,,
2021-06-18 13:44:31 CET,110,26.375,34,20.423,8.15674,inf,912,,,,
2021-06-18 13:44:51 CET,111,26.375,33,25.175,8.14766,inf,912,,,,
2021-06-18 13:45:10 CET,112,26.375,33,13.295,8.14312,inf,909,,,,
2021-06-18 13:45:30 CET,113,26.375,35,13.996,8.15674,inf,882,,,,
2021-06-18 13:45:49 CET,114,26.375,34,14.856,8.14766,inf,885,,,,
2021-06-18 13:46:08 CET,115,26.375,35,20.91,8.16128,inf,911,,,,
